PlatformGenre,Continent,SumSales
GENPlatform,Asia,0.77
GENSports,North America,2.7
GENSports,Europe,0.39
GENSports,Asia,0.04
DCAdventure,North America,0.52
DCAdventure,Europe,0.24
DCAdventure,Asia,1.7
DCFighting,North America,0
DCFighting,Europe,0
DCFighting,Asia,1.83
DCAction,North America,0.41
DCAction,Europe,0.23
DCAction,Asia,0.59
DCSimulation,North America,0
DCSimulation,Europe,0
DCSimulation,Asia,0.52
DCShooter,North America,0
DCShooter,Europe,0
DCShooter,Asia,0.33
DCRole-Playing,North America,0
DCRole-Playing,Europe,0
DCRole-Playing,Asia,0.68
DCRacing,North America,1.1
DCRacing,Europe,0.51
DCRacing,Asia,0.96
DCPlatform,North America,1.26
DCPlatform,Europe,0.61
DCPlatform,Asia,0.58
DCSports,North America,2.14
DCSports,Europe,0.1
DCSports,Asia,1.37
PSVStrategy,North America,0.03
PSVStrategy,Europe,0.03
PSVStrategy,Asia,0.27
PSVAdventure,North America,0.59
PSVAdventure,Europe,0.58
PSVAdventure,Asia,2.33
PSVFighting,North America,1.05
PSVFighting,Europe,0.55
PSVFighting,Asia,0.68
PSVAction,North America,3.73
PSVAction,Europe,4.36
PSVAction,Asia,6.85
PSVSimulation,North America,0.01
PSVSimulation,Europe,0
PSVSimulation,Asia,0.07
PSVShooter,North America,1.48
PSVShooter,Europe,1.49
PSVShooter,Asia,0.24
PSVMisc,North America,0.68
PSVMisc,Europe,0.97
PSVMisc,Asia,2.31
PSVPuzzle,North America,0.07
PSVPuzzle,Europe,0.04
PSVPuzzle,Asia,0.05
PSVRole-Playing,North America,2.24
PSVRole-Playing,Europe,1.33
PSVRole-Playing,Asia,7.86
PSVRacing,North America,0.78
PSVRacing,Europe,1.11
PSVRacing,Asia,0.16
PSVPlatform,North America,0.77
PSVPlatform,Europe,1.23
PSVPlatform,Asia,0.06
PSVSports,North America,1.15
PSVSports,Europe,1.43
PSVSports,Asia,1.05
SATStrategy,North America,0
SATStrategy,Europe,0
SATStrategy,Asia,3.24
SATAdventure,North America,0
SATAdventure,Europe,0
SATAdventure,Asia,4.16
SATFighting,North America,0.51
SATFighting,Europe,0.38
SATFighting,Asia,7.59
SATAction,North America,0
SATAction,Europe,0
SATAction,Asia,0.65
SATSimulation,North America,0
SATSimulation,Europe,0
SATSimulation,Asia,1.13
SATShooter,North America,0
SATShooter,Europe,0
SATShooter,Asia,3.97
SATMisc,North America,0
SATMisc,Europe,0
SATMisc,Asia,1.2
SATPuzzle,North America,0
SATPuzzle,Europe,0
SATPuzzle,Asia,1
SATRole-Playing,North America,0
SATRole-Playing,Europe,0
SATRole-Playing,Asia,3.76
SATRacing,North America,0.21
SATRacing,Europe,0.16
SATRacing,Asia,2.01
SATPlatform,North America,0
SATPlatform,Europe,0
SATPlatform,Asia,0.76
SATSports,North America,0
SATSports,Europe,0
SATSports,Asia,2.79
SCDStrategy,North America,0
SCDStrategy,Europe,0
SCDStrategy,Asia,0.14
SCDMisc,North America,0
SCDMisc,Europe,0
SCDMisc,Asia,0.09
SCDRole-Playing,North America,0
SCDRole-Playing,Europe,0
SCDRole-Playing,Asia,0.06
SCDRacing,North America,0
SCDRacing,Europe,0
SCDRacing,Asia,0.07
SCDPlatform,North America,1
SCDPlatform,Europe,0.36
SCDPlatform,Asia,0.09
WSStrategy,North America,0
WSStrategy,Europe,0
WSStrategy,Asia,0.2
WSRole-Playing,North America,0
WSRole-Playing,Europe,0
WSRole-Playing,Asia,1.22
NGFighting,North America,0
NGFighting,Europe,0
NGFighting,Asia,1.42
NGSports,North America,0
NGSports,Europe,0
NGSports,Asia,0.02
TG16Adventure,North America,0
TG16Adventure,Europe,0
TG16Adventure,Asia,0.14
TG16Shooter,North America,0
TG16Shooter,Europe,0
TG16Shooter,Asia,0.02
3DOAdventure,North America,0
3DOAdventure,Europe,0
3DOAdventure,Asia,0.06
3DOSimulation,North America,0
3DOSimulation,Europe,0
